,cluster,Name
0,1,B41-BAGALKOT SORTING OFFICE
1,3,B06-BOMMANAHALLI BRANCH
2,3,B07-CHAMRAJPET BRANCH
3,2,B08-PEENYA BRANCH
4,3,B09-RAJAJINAGAR BRANCH
5,1,B10-BANGALORE YELAHANKA APEX
6,2,B11-HENNUR BRANCH
7,4,B14-BANGALORE T/S APEX
8,3,B26-KOGILU BRANCH
9,3,B35-WHITE FIELD BRANCH
10,1,B36-BANGALORE NELAMANGALA APEX
11,1,B37-BLR DP PROCESSING APEX
12,3,B58-DOMLUR BRANCH
13,3,B59-SARAKKI BRANCH
14,2,B61-NERALURU BRANCH
15,1,B68-HOSKOTE BRANCH
16,1,B16-BELGAUM SUPER FRANCHISEE
17,1,B47-BELLARY SORTING OFFICE
18,1,B62-BIDAR SORTING OFFICE
19,1,B42-BIJAPUR SORTING OFFICE
20,1,B64-CHIKMAGALUR BRANCH
21,1,B13-CHITRADURGA SORTING OFFICE
22,2,B50-DAVANGERE BRANCH
23,2,B05-GULBARGA SUPER FRANCHISEE
24,2,B18-HASSAN BRANCH
25,2,B19-HOSPET SUPER FRANCHISEE
26,1,B27-HOSUR BRANCH
27,2,B03-HUBLI BRANCH
28,1,B95-MANDYA NODAL POINT
29,2,B01-MANGALORE SUPER FRANCHISEE
30,4,B51-MARGAO BRANCH
31,2,B02-MYSORE BRANCH
32,2,B32-GOA PANJIM BRANCH
33,1,B63-RAICHUR SORTING OFFICE
34,1,B65-VERNA BRANCH
35,1,B38-SHIMOGA SORTING OFFICE
36,1,B39-SIRSI BRANCH OFFICE
37,1,B43-TUMKUR SORTING OFFICE
38,1,B53-UDUPI NODAL POINT
39,1,C57-CHENGALPET BRANCH
40,2,C13-GUINDY BRANCH
41,2,C14-AMINJIKARAI BRANCH
42,2,C15-PARRYS BRANCH
43,1,C20-VELAPPANCHAVADI APEX
44,2,C30-TAMBARAM MASTER FRANCHISEE
45,2,C36-ELDAMS ROAD BRANCH
46,2,C37-AMBATTUR BRANCH
47,2,C38-PORUR BRANCH
48,1,C42-GUINDY APEX
49,2,C47-PALLIKKARANAI MASTER FRANCHISEE
50,2,C48-MADHAVARAM BRANCH
51,1,C50-SRM - POTHERI SUPER FRANCHISEE
52,4,C73-GUMMIDIPOONDI BRANCH
53,2,C74-THIRUVERKADU BRANCH
54,1,C59-KANCHEEPURAM BRANCH
55,2,C08-KATPADI BRANCH
56,2,C02-PONDICHERRY BRANCH
57,1,C60-SRI CITY BRANCH
58,2,C53-SREEPERUMBADHUR BRANCH
59,2,C22-VILLUPURAM BRANCH
60,3,E01-COIMBATORE APEX
61,2,E21-COIMBATORE GANAPATHY BRANCH
62,1,E07-DINDIGUL BRANCH
63,2,E03-ERODE BRANCH
64,1,E05-KARUR BRANCH
65,1,E16-KRISHNAGIRI BRANCH
66,2,E08-MADURAI APEX
67,1,E11-NAGERCOILBRANCH
68,2,E04-SALEM APEX
69,1,E20-SIVAKASI BRANCH
70,1,E23-THANJAVUR BRANCH
71,1,E24-THENI BRANCH
72,1,E09-TIRUNELVELI BRANCH
73,2,E02-TIRUPUR BRANCH
74,2,E06-TRICHY BRANCH
75,4,E10-TUTICORIN BRANCH
76,2,O01-ALLEPPEY BRANCH
77,2,O13-ALWAYE BRANCH
78,3,O02-CALICUT BRANCH
79,2,O09-CANNANORE BRANCH
80,1,O17-CHANGANACHERRY NODAL POINT
81,1,O14-CHERTHALA BRANCH
82,3,O06-COCHIN APEX
83,2,O23-COCHIN BRANCH
84,1,O21-ADIMALY BRANCH
85,1,O25-KALPETTA BRANCH
86,2,O60-KANHANGAD BRANCH
87,3,O12-KOTTAKAL BRANCH
88,2,O07-KOTTAYAM BRANCH
89,2,O88-MUVATTUPUZHA BRANCH
90,2,O03-PALGHAT BRANCH
91,2,O08-QUILON BRANCH
92,2,O89-THALASSERY BRANCH
93,2,O11-THIRUVALLA BRANCH
94,3,O04-TRICHUR BRANCH
95,3,O05-TRIVANDRUM BRANCH
96,2,H07-BASHEERBAGH BRANCH
97,3,H08-BANJARAHILLS MASTER FRANCHISEE
98,2,H09-BALANAGAR BRANCH
99,2,H10-BEGUMPET BRANCH
100,2,H11-KARMANGHAT BRANCH
101,1,H13-HYDERABAD SHAMSHABAD APEX
102,2,H48-ANANDBAGH BRANCH
103,3,H70-GACHIBOWLI MASTER FRANCHISEE
104,2,H71-MEHDIPATNAM MASTER FRANCHISEE
105,2,H74-BOWENPALLY BRANCH
106,1,H75-BACHUPALLY NIZAMPET ROAD BRANCH
107,3,H79-NAGOLE PRACEL BRANCH
108,2,H80-CHANDANAGAR BRANCH
109,2,H90-MEDCHAL APEX
110,2,H37-KARIMNAGAR SUPER FRANCHISEE
111,2,H91-KHAMMAM BRANCH
112,2,H42-MAHABUBNAGAR SUPER FRANCHISEE
113,1,H98-MANCHERIAL SUPER FRANCHISEE
114,2,H53-NIZAMABAD SUPER FRANCHISEE
115,2,H96-SHAMSHABAD BRANCH
116,2,H92-SURYAPET BRANCH
117,2,H17-WARANGAL SUPER FRANCHISEE
118,2,V07-ANANTHPUR SUPER FRANCHISEE
119,1,V24-HINDUPUR BRANCH
120,2,V57-BHIMAVARAM SUB BRANCH
121,1,V32-CHITTOOR NODAL POINT
122,2,V13-CUDDAPAH SUPER FRANCHISEE
123,3,V08-GUNTUR BRANCH
124,2,V15-KAKINADA SUB BRANCH
125,2,V04-KURNOOL BRANCH
126,1,V21-MADANAPALLI SORTING OFFICE
127,1,V22-NANDYAL SUB BRANCH
128,2,V09-NELLORE SUPER FRANCHISEE
129,2,V10-ONGOLE BRANCH
130,2,V05-RAJAHMUNDRY BRANCH
131,1,V12-SRIKAKULAM BRANCH
132,2,V01-TIRUPATI BRANCH
133,2,V06-VIJAYAWADA APEX
134,3,V58-VIJAYAWADA BRANCH
135,3,V02-VISHAKAPATNAM APEX
136,2,V16-GAJUWAKA SUPER FRANCHISEE
137,1,V11-VIZIANAGARAM BRANCH
138,2,U02-ALLAHABAD BRANCH
139,1,U78-SULTANPUR BRANCH
140,1,U135-BARABANKI SORTING OFFICE
141,1,U142-BASTI BRANCH
142,1,U83-AURAIYA NODAL POINT
143,1,U26-FAIZABAD BRANCH
144,1,U133-AZAMGARH BRANCH
145,1,U45-GONDA BRANCH
146,2,U06-GORAKHPUR BRANCH
147,4,U79-JAUNPUR SORTING OFFICE
148,1,U141-KANNUAJ BRANCH
149,3,U03-KANPUR BRANCH
150,1,U140-LAKHIMPUR MINI BRANCH
151,2,U01-LUCKNOW BRANCH
152,1,U43-LUCKNOW APEX
153,2,U48-MAHANAGAR LUCKNOW BRANCH
154,2,U139-LUCKNOW TRANSPORT NAGAR BRANCH
155,2,U143-GOMTI NAGAR BRANCH
156,1,U110-ORAI NODAL POINT
157,1,U144-RAEBARELI BRANCH
158,1,U44-RENUKOOT SUPER FRANCHISEE
159,1,U77-SHAHJAHANPUR SUPER FRANCHISEE
160,1,U95-HARDOI NODAL POINT
161,2,U04-VARANASI APEX
162,2,U130-VARANASI BRANCH
163,1,L05-DHARUHERA BRANCH
164,0,L01-GURGAON DP PROCESSING CENTER APEX
165,3,L02-GURGAON MASTER FRANCHISEE
166,2,L03-GURGAON - HERO HONDA CHOWK BRANCH
167,3,L04-GURGAON APEX
168,2,L23-MANESAR BRANCH
169,2,L27-GURGAON - SOHNA ROAD BRANCH
170,1,L28-NUH RURAL BRANCH
171,1,J06-AMBALA BRANCH
172,2,J10-AMBALA APEX
173,2,J05-AMRITSAR BRANCH
174,2,J12-BADDI SUPER FRANCHISEE
175,1,J37-BAHADURGARH BRANCH
176,2,J08-BHATINDA BRANCH
177,1,J20-BILASPUR SUPER FRANCHISEE
178,3,J01-CHANDIGARH BRANCH
179,0,J29-PANCHKULA APEX
