,cluster,Name
0,3,B41-BAGALKOT SORTING OFFICE
1,4,B06-BOMMANAHALLI BRANCH
2,4,B07-CHAMRAJPET BRANCH
3,4,B08-PEENYA BRANCH
4,4,B09-RAJAJINAGAR BRANCH
5,2,B10-BANGALORE YELAHANKA APEX
6,2,B11-HENNUR BRANCH
7,3,B14-BANGALORE T/S APEX
8,4,B26-KOGILU BRANCH
9,4,B35-WHITE FIELD BRANCH
10,4,B36-BANGALORE NELAMANGALA APEX
11,3,B37-BLR DP PROCESSING APEX
12,4,B58-DOMLUR BRANCH
13,4,B59-SARAKKI BRANCH
14,4,B61-NERALURU BRANCH
15,2,B68-HOSKOTE BRANCH
16,2,B16-BELGAUM SUPER FRANCHISEE
17,4,B47-BELLARY SORTING OFFICE
18,3,B62-BIDAR SORTING OFFICE
19,3,B42-BIJAPUR SORTING OFFICE
20,3,B64-CHIKMAGALUR BRANCH
21,4,B13-CHITRADURGA SORTING OFFICE
22,4,B50-DAVANGERE BRANCH
23,2,B05-GULBARGA SUPER FRANCHISEE
24,4,B18-HASSAN BRANCH
25,4,B19-HOSPET SUPER FRANCHISEE
26,3,B27-HOSUR BRANCH
27,4,B03-HUBLI BRANCH
28,3,B95-MANDYA NODAL POINT
29,2,B01-MANGALORE SUPER FRANCHISEE
30,0,B51-MARGAO BRANCH
31,4,B02-MYSORE BRANCH
32,0,B32-GOA PANJIM BRANCH
33,4,B63-RAICHUR SORTING OFFICE
34,3,B65-VERNA BRANCH
35,2,B38-SHIMOGA SORTING OFFICE
36,4,B39-SIRSI BRANCH OFFICE
37,2,B43-TUMKUR SORTING OFFICE
38,4,B53-UDUPI NODAL POINT
39,2,C57-CHENGALPET BRANCH
40,2,C13-GUINDY BRANCH
41,2,C14-AMINJIKARAI BRANCH
42,2,C15-PARRYS BRANCH
43,3,C20-VELAPPANCHAVADI APEX
44,2,C30-TAMBARAM MASTER FRANCHISEE
45,2,C36-ELDAMS ROAD BRANCH
46,2,C37-AMBATTUR BRANCH
47,0,C38-PORUR BRANCH
48,0,C42-GUINDY APEX
49,2,C47-PALLIKKARANAI MASTER FRANCHISEE
50,2,C48-MADHAVARAM BRANCH
51,0,C50-SRM - POTHERI SUPER FRANCHISEE
52,0,C73-GUMMIDIPOONDI BRANCH
53,0,C74-THIRUVERKADU BRANCH
54,3,C59-KANCHEEPURAM BRANCH
55,2,C08-KATPADI BRANCH
56,4,C02-PONDICHERRY BRANCH
57,3,C60-SRI CITY BRANCH
58,4,C53-SREEPERUMBADHUR BRANCH
59,2,C22-VILLUPURAM BRANCH
60,4,E01-COIMBATORE APEX
61,4,E21-COIMBATORE GANAPATHY BRANCH
62,4,E07-DINDIGUL BRANCH
63,4,E03-ERODE BRANCH
64,4,E05-KARUR BRANCH
65,4,E16-KRISHNAGIRI BRANCH
66,2,E08-MADURAI APEX
67,4,E11-NAGERCOILBRANCH
68,4,E04-SALEM APEX
69,3,E20-SIVAKASI BRANCH
70,2,E23-THANJAVUR BRANCH
71,3,E24-THENI BRANCH
72,3,E09-TIRUNELVELI BRANCH
73,2,E02-TIRUPUR BRANCH
74,4,E06-TRICHY BRANCH
75,0,E10-TUTICORIN BRANCH
76,4,O01-ALLEPPEY BRANCH
77,4,O13-ALWAYE BRANCH
78,4,O02-CALICUT BRANCH
79,4,O09-CANNANORE BRANCH
80,3,O17-CHANGANACHERRY NODAL POINT
81,4,O14-CHERTHALA BRANCH
82,4,O06-COCHIN APEX
83,4,O23-COCHIN BRANCH
84,4,O21-ADIMALY BRANCH
85,4,O25-KALPETTA BRANCH
86,4,O60-KANHANGAD BRANCH
87,4,O12-KOTTAKAL BRANCH
88,4,O07-KOTTAYAM BRANCH
89,4,O88-MUVATTUPUZHA BRANCH
90,4,O03-PALGHAT BRANCH
91,4,O08-QUILON BRANCH
92,4,O89-THALASSERY BRANCH
93,4,O11-THIRUVALLA BRANCH
94,4,O04-TRICHUR BRANCH
95,4,O05-TRIVANDRUM BRANCH
96,4,H07-BASHEERBAGH BRANCH
97,4,H08-BANJARAHILLS MASTER FRANCHISEE
98,4,H09-BALANAGAR BRANCH
99,4,H10-BEGUMPET BRANCH
100,2,H11-KARMANGHAT BRANCH
101,3,H13-HYDERABAD SHAMSHABAD APEX
102,4,H48-ANANDBAGH BRANCH
103,4,H70-GACHIBOWLI MASTER FRANCHISEE
104,4,H71-MEHDIPATNAM MASTER FRANCHISEE
105,4,H74-BOWENPALLY BRANCH
106,2,H75-BACHUPALLY NIZAMPET ROAD BRANCH
107,4,H79-NAGOLE PRACEL BRANCH
108,4,H80-CHANDANAGAR BRANCH
109,4,H90-MEDCHAL APEX
110,2,H37-KARIMNAGAR SUPER FRANCHISEE
111,4,H91-KHAMMAM BRANCH
112,4,H42-MAHABUBNAGAR SUPER FRANCHISEE
113,2,H98-MANCHERIAL SUPER FRANCHISEE
114,4,H53-NIZAMABAD SUPER FRANCHISEE
115,2,H96-SHAMSHABAD BRANCH
116,4,H92-SURYAPET BRANCH
117,2,H17-WARANGAL SUPER FRANCHISEE
118,4,V07-ANANTHPUR SUPER FRANCHISEE
119,4,V24-HINDUPUR BRANCH
120,4,V57-BHIMAVARAM SUB BRANCH
121,3,V32-CHITTOOR NODAL POINT
122,4,V13-CUDDAPAH SUPER FRANCHISEE
123,4,V08-GUNTUR BRANCH
124,4,V15-KAKINADA SUB BRANCH
125,4,V04-KURNOOL BRANCH
126,4,V21-MADANAPALLI SORTING OFFICE
127,2,V22-NANDYAL SUB BRANCH
128,4,V09-NELLORE SUPER FRANCHISEE
129,2,V10-ONGOLE BRANCH
130,4,V05-RAJAHMUNDRY BRANCH
131,3,V12-SRIKAKULAM BRANCH
132,4,V01-TIRUPATI BRANCH
133,2,V06-VIJAYAWADA APEX
134,4,V58-VIJAYAWADA BRANCH
135,4,V02-VISHAKAPATNAM APEX
136,4,V16-GAJUWAKA SUPER FRANCHISEE
137,2,V11-VIZIANAGARAM BRANCH
138,4,U02-ALLAHABAD BRANCH
139,3,U78-SULTANPUR BRANCH
140,3,U135-BARABANKI SORTING OFFICE
141,3,U142-BASTI BRANCH
142,3,U83-AURAIYA NODAL POINT
143,2,U26-FAIZABAD BRANCH
144,4,U133-AZAMGARH BRANCH
145,3,U45-GONDA BRANCH
146,4,U06-GORAKHPUR BRANCH
147,3,U79-JAUNPUR SORTING OFFICE
148,3,U141-KANNUAJ BRANCH
149,4,U03-KANPUR BRANCH
150,4,U140-LAKHIMPUR MINI BRANCH
151,4,U01-LUCKNOW BRANCH
152,3,U43-LUCKNOW APEX
153,4,U48-MAHANAGAR LUCKNOW BRANCH
154,4,U139-LUCKNOW TRANSPORT NAGAR BRANCH
155,4,U143-GOMTI NAGAR BRANCH
156,3,U110-ORAI NODAL POINT
157,3,U144-RAEBARELI BRANCH
158,3,U44-RENUKOOT SUPER FRANCHISEE
159,3,U77-SHAHJAHANPUR SUPER FRANCHISEE
160,3,U95-HARDOI NODAL POINT
161,4,U04-VARANASI APEX
162,2,U130-VARANASI BRANCH
163,4,L05-DHARUHERA BRANCH
164,1,L01-GURGAON DP PROCESSING CENTER APEX
165,4,L02-GURGAON MASTER FRANCHISEE
166,4,L03-GURGAON - HERO HONDA CHOWK BRANCH
167,4,L04-GURGAON APEX
168,4,L23-MANESAR BRANCH
169,4,L27-GURGAON - SOHNA ROAD BRANCH
170,3,L28-NUH RURAL BRANCH
171,4,J06-AMBALA BRANCH
172,4,J10-AMBALA APEX
173,2,J05-AMRITSAR BRANCH
174,4,J12-BADDI SUPER FRANCHISEE
175,4,J37-BAHADURGARH BRANCH
176,2,J08-BHATINDA BRANCH
177,3,J20-BILASPUR SUPER FRANCHISEE
178,4,J01-CHANDIGARH BRANCH
179,1,J29-PANCHKULA APEX
180,4,J07-HISSAR BRANCH
181,2,J02-JALANDHAR BRANCH
182,2,J15-KARNAL BRANCH
183,4,J26-KUNDLI BRANCH
184,4,J03-LUDHIANA BRANCH
185,0,J48-MOGA BRANCH
186,4,J21-MOHALI BRANCH
187,2,J19-NANGAL BRANCH
188,4,J13-PANCHKULA BRANCH
189,2,J04-PANIPAT BRANCH
190,3,J11-PATHANKOT BRANCH
191,4,J18-PATIALA BRANCH
192,3,J17-PHAGWARA BRANCH
193,2,J16-RAJPURA BRANCH
194,4,J25-ROHTAK BRANCH
195,2,J14-SHIMLA BRANCH
196,3,J36-SIRSA BRANCH
197,4,J39-SOLAN BRANCH
198,4,J50-YAMUNA NAGAR BRANCH
199,2,Q09-AJMER BRANCH
200,4,Q07-ALWAR BRANCH
201,4,Q44-NEEMRANA BRANCH
202,3,Q34-BAWAL BRANCH
203,2,Q18-BEHROR SORTING OFFICE
204,2,Q40-BHARATPUR BRANCH
205,2,Q12-BHILWARA SORTING OFFICE
206,4,Q11-BHIWADI BRANCH
207,3,Q14-BIKANER BRANCH
208,4,Q01-JAIPUR LALKOTHI BRANCH
209,1,Q05-JAIPUR APEX
210,4,Q06-JAIPUR VAISHALINAGAR BRANCH
211,4,Q17-MANSAROVAR BRANCH
212,4,Q35-JAIPUR VKI BRANCH
213,3,Q41-BAGRU BRANCH
214,3,Q43-SHAHPURA (JAIPUR ROAD) NODAL POINT
215,4,Q02-JODHPUR BRANCH
216,4,Q03-KOTA SUPER FRANCHISEE
217,3,Q10-PALI BRANCH
218,3,Q16-SIKAR BRANCH
219,4,Q13-SRIGANGANAGAR BRANCH
220,2,Q04-UDAIPUR BRANCH
221,4,N02-TRANSYAMUNA BRANCH
222,4,N03-NARAINA CITY BRANCH
223,4,N05-DELHI SAMALKHA APEX
224,4,N09-WAZIRPUR BRANCH
225,4,N10-JHANDEWALAN BRANCH
226,4,N11-MEERBAGH BRANCH
227,4,N15-DURGAPURI BRANCH
228,4,N17-ROHINI BRANCH
229,0,N20-DELHI DP PROCESSING CENTRE APEX
230,4,N24-DELHI ECOMMERCE PROCESSING CENTRE APEX
231,4,N33-DARYGANJ BRANCH
232,4,N40-BAWANA BRANCH
233,4,N37-JAMMU BRANCH
234,4,N30-NOIDA APEX
235,4,N31-GREATER NOIDA BRANCH
236,4,N32-NOIDA PH3 BRANCH
237,4,N35-PARI CHOWK BRANCH
238,2,N38-SRI NAGAR BRANCH
239,4,S27-BALLABHGARH BRANCH
240,4,S01-KHIRKI BRANCH
241,4,S03-MAHIPALPUR BRANCH
242,4,S04-OKHLA BRANCH
243,4,S09-DWARKA BRANCH
244,4,S17-ASHRAM BRANCH
245,0,S25-SOUTH DELHI DP PROCESSING CENTER APEX
246,4,S26-CHATTARPUR BRANCH
247,4,S02-FARIDABAD BRANCH
248,4,U09-AGRA BRANCH
249,2,U16-ALIGARH BRANCH
250,2,U15-BAREILLY BRANCH
251,4,U31-BIJNORE BRANCH
252,3,U145-BULANDSHAHR BRANCH
253,4,U10-DEHRADUN BRANCH
254,3,U28-SELAQUI BRANCH
255,4,U11-GHAZIABAD APEX
256,4,U07-GWALIOR BRANCH
257,2,U12-HALDWANI BRANCH
258,4,U18-HARDWAR BRANCH
259,4,U24-JHANSI BRANCH
260,4,U27-KASHIPUR BRANCH
261,3,U25-MATHURA BRANCH
262,2,U13-MEERUT BRANCH
263,4,U14-MORADABAD BRANCH
264,3,U19-MUZAFFARNAGAR BRANCH
265,3,U17-RISHIKESH BRANCH
266,4,U22-ROORKEE BRANCH
267,2,U23-RUDRAPUR BRANCH
268,4,U21-SAHIBABAD BRANCH
269,2,U20-SAHARANPUR BRANCH
270,4,U30-VAISHALI BRANCH
271,0,A01-AHMEDABAD APEX
272,4,A11-KHOKHRA BRANCH
273,4,A24-AHMEDABAD BRANCH
274,4,A36-AHMEDABAD WEST BRANCH
275,2,A48-CHILODA BRANCH
276,3,A44-ANAND BRANCH
277,3,A07-ANKLESHWAR BRANCH
278,4,A02-BARODA BRANCH
279,4,A17-BARODA SCS APEX
280,3,A27-BHAVNAGAR SORTING OFFICE
281,0,A47-BHUJ SUPER FRANCHISEE
282,0,A51-DAHEJ SORTING OFFICE
283,2,A38-GANDHINAGAR BRANCH
284,3,A49-HALOL BRANCH
285,4,A33-JAMNAGAR BRANCH
286,3,A16-KUTCH DDLP SUPER FRANCHISE
287,0,A18-MEHSANA BRANCH
288,2,A03-RAJKOT BRANCH
289,3,A50-SANAND BRANCH
290,2,A04-SURAT APEX
291,2,A46-SURAT CITY BRANCH
292,3,A45-SURENDRANAGAR BRANCH
293,2,A05-VAPI BRANCH
294,4,I39-BETUL BRANCH
295,2,I02-BHOPAL BRANCH
296,1,I10-BHOPAL T/S APEX
297,3,I11-CHHINDWARA SORTING OFFICE
298,3,I20-DEWAS BRANCH
299,4,I01-INDORE APEX
300,2,I04-INDORE T/S APEX
301,0,I24-INDORE SCS APEX
302,2,I08-JABALPUR BRANCH
303,3,I30-SHAHDOL NODAL POINT
304,3,I16-MANDSAUR SORTING OFFICE
305,3,I29-NEEMUCH NODAL POINT
306,3,I03-PITHAMPUR SUB BRANCH
307,4,I07-RATLAM SORTING OFFICE
308,3,I19-REWA BRANCH
309,3,I34-SAGAR BRANCH
310,1,I40-UJJAIN SORTING OFFICE
311,1,M33-MUMBAI VADPE APEX
312,2,M35-BHIWANDI BRANCH
313,4,M01-LOWER PAREL BRANCH
314,4,M02-FORT BRANCH
315,4,M04-MIDC BRANCH
316,4,M05-GOREGAON BRANCH
317,4,M06-GHATKOPAR BRANCH
318,4,M07-THANE BRANCH
319,4,M08-VASHI BRANCH
320,2,M10-MUMBAI SAKINAKA APEX
321,1,M13-MUMBAI INTERNATIONAL APEX
