,cluster,Name
0,0,B41-BAGALKOT SORTING OFFICE
1,2,B06-BOMMANAHALLI BRANCH
2,2,B07-CHAMRAJPET BRANCH
3,1,B08-PEENYA BRANCH
4,2,B09-RAJAJINAGAR BRANCH
5,0,B10-BANGALORE YELAHANKA APEX
6,1,B11-HENNUR BRANCH
7,4,B14-BANGALORE T/S APEX
8,2,B26-KOGILU BRANCH
9,2,B35-WHITE FIELD BRANCH
10,0,B36-BANGALORE NELAMANGALA APEX
11,0,B37-BLR DP PROCESSING APEX
12,2,B58-DOMLUR BRANCH
13,2,B59-SARAKKI BRANCH
14,1,B61-NERALURU BRANCH
15,0,B68-HOSKOTE BRANCH
16,1,B16-BELGAUM SUPER FRANCHISEE
17,0,B47-BELLARY SORTING OFFICE
18,0,B62-BIDAR SORTING OFFICE
19,0,B42-BIJAPUR SORTING OFFICE
20,0,B64-CHIKMAGALUR BRANCH
21,0,B13-CHITRADURGA SORTING OFFICE
22,0,B50-DAVANGERE BRANCH
23,0,B05-GULBARGA SUPER FRANCHISEE
24,0,B18-HASSAN BRANCH
25,0,B19-HOSPET SUPER FRANCHISEE
26,0,B27-HOSUR BRANCH
27,1,B03-HUBLI BRANCH
28,0,B95-MANDYA NODAL POINT
29,1,B01-MANGALORE SUPER FRANCHISEE
30,4,B51-MARGAO BRANCH
31,1,B02-MYSORE BRANCH
32,4,B32-GOA PANJIM BRANCH
33,0,B63-RAICHUR SORTING OFFICE
34,0,B65-VERNA BRANCH
35,0,B38-SHIMOGA SORTING OFFICE
36,0,B39-SIRSI BRANCH OFFICE
37,0,B43-TUMKUR SORTING OFFICE
38,0,B53-UDUPI NODAL POINT
39,0,C57-CHENGALPET BRANCH
40,2,C13-GUINDY BRANCH
41,1,C14-AMINJIKARAI BRANCH
42,1,C15-PARRYS BRANCH
43,0,C20-VELAPPANCHAVADI APEX
44,4,C30-TAMBARAM MASTER FRANCHISEE
45,1,C36-ELDAMS ROAD BRANCH
46,1,C37-AMBATTUR BRANCH
47,4,C38-PORUR BRANCH
48,0,C42-GUINDY APEX
49,1,C47-PALLIKKARANAI MASTER FRANCHISEE
50,4,C48-MADHAVARAM BRANCH
51,4,C50-SRM - POTHERI SUPER FRANCHISEE
52,4,C73-GUMMIDIPOONDI BRANCH
53,4,C74-THIRUVERKADU BRANCH
54,0,C59-KANCHEEPURAM BRANCH
55,0,C08-KATPADI BRANCH
56,0,C02-PONDICHERRY BRANCH
57,0,C60-SRI CITY BRANCH
58,1,C53-SREEPERUMBADHUR BRANCH
59,0,C22-VILLUPURAM BRANCH
60,2,E01-COIMBATORE APEX
61,1,E21-COIMBATORE GANAPATHY BRANCH
